"","Kod","Nazwa","Miasta...wieś","Płeć","Przyczyny.zgonów","Rok","Wartosc","Jednostka.miary","Atrybut","X"
"180",0,"POLSKA","miasto","kobiety","nowotwory złośliwe",2024,265.95,"-",NA,NA
"181",0,"POLSKA","miasto","kobiety","nowotwór złośliwy żołądka",2024,8.43,"-",NA,NA
"182",0,"POLSKA","miasto","kobiety","nowotwór złośliwy trzustki",2024,15.16,"-",NA,NA
"183",0,"POLSKA","miasto","kobiety","nowotwór złośliwy tchawicy, oskrzela i płuca",2024,51.79,"-",NA,NA
"184",0,"POLSKA","miasto","kobiety","nowotwór złośliwy sutka",2024,39.57,"-",NA,NA
"185",0,"POLSKA","miasto","kobiety","nowotwór złośliwy szyjki macicy",2024,7.69,"-",NA,NA
"186",0,"POLSKA","miasto","kobiety","nowotwór złośliwy gruczołu krokowego",2024,0,"-",NA,NA
"187",0,"POLSKA","miasto","kobiety","białaczka",2024,6.98,"-",NA,NA
"188",0,"POLSKA","miasto","kobiety","zaburzenia wydzielania wewnętrznego, stanu odżywiania i przemiany metabolicznej",2024,26.06,"-",NA,NA
"189",0,"POLSKA","miasto","kobiety","cukrzyca",2024,24.71,"-",NA,NA
"190",0,"POLSKA","miasto","kobiety","zaburzenia psychiczne i zaburzenia zachowania",2024,9.79,"-",NA,NA
"191",0,"POLSKA","miasto","kobiety","choroby układu nerwowego i narządów zmysłów",2024,25.35,"-",NA,NA
"192",0,"POLSKA","miasto","kobiety","choroba Alzheimera",2024,13.1,"-",NA,NA
"193",0,"POLSKA","miasto","kobiety","choroby układu krążenia",2024,424.41,"-",NA,NA
"194",0,"POLSKA","miasto","kobiety","choroba nadciśnieniowa",2024,34.18,"-",NA,NA
"195",0,"POLSKA","miasto","kobiety","choroba niedokrwienna serca",2024,188.72,"-",NA,NA
"196",0,"POLSKA","miasto","kobiety","ostry zawał serca",2024,24,"-",NA,NA
"197",0,"POLSKA","miasto","kobiety","choroby naczyń mózgowych",2024,82.9,"-",NA,NA
"198",0,"POLSKA","miasto","kobiety","miażdżyca",2024,40.03,"-",NA,NA
"199",0,"POLSKA","miasto","kobiety","choroby układu oddechowego",2024,84.42,"-",NA,NA
"200",0,"POLSKA","miasto","kobiety","choroby układu trawiennego",2024,45.94,"-",NA,NA
"201",0,"POLSKA","miasto","kobiety","zwłóknienie i marskość wątroby",2024,4.72,"-",NA,NA
"202",0,"POLSKA","miasto","kobiety","choroby układu moczowo-płciowego",2024,23.87,"-",NA,NA
"203",0,"POLSKA","miasto","kobiety","ciąża, poród i połóg",2024,0.04,"-",NA,NA
"204",0,"POLSKA","miasto","kobiety","stany rozpoczynające się w okresie okołoporodowym",2024,0.9,"-",NA,NA
"205",0,"POLSKA","miasto","kobiety","wady rozwojowe wrodzone, zniekształcenia i aberracje chromosomowe",2024,1.3,"-",NA,NA
"206",0,"POLSKA","miasto","kobiety","objawy, cechy chorobowe i nieprawidłowe wyniki badań klinicznych i laboratoryjnych",2024,95.14,"-",NA,NA
"207",0,"POLSKA","miasto","kobiety","zewnętrzne przyczyny zgonu",2024,28.51,"-",NA,NA
"208",0,"POLSKA","miasto","kobiety","wypadki komunikacyjne",2024,2.8,"-",NA,NA
"209",0,"POLSKA","miasto","kobiety","samobójstwa",2024,3.24,"-",NA,NA
"210",0,"POLSKA","miasto","kobiety","brak przyczyny zgonu (opisu) w Karcie Statystycznej do Karty Zgonu",2024,3.17,"-",NA,NA
"211",0,"POLSKA","wieś","ogółem","ogółem",2024,1009.75,"-",NA,NA
"212",0,"POLSKA","wieś","ogółem","choroby zakaźne i pasożytnicze",2024,5.16,"-",NA,NA
"213",0,"POLSKA","wieś","ogółem","gruźlica",2024,1.12,"-",NA,NA
"214",0,"POLSKA","wieś","ogółem","nowotwory",2024,255.2,"-",NA,NA
"215",0,"POLSKA","wieś","ogółem","nowotwory złośliwe",2024,229.56,"-",NA,NA
"216",0,"POLSKA","wieś","ogółem","nowotwór złośliwy żołądka",2024,10.58,"-",NA,NA
"217",0,"POLSKA","wieś","ogółem","nowotwór złośliwy trzustki",2024,11.27,"-",NA,NA
"218",0,"POLSKA","wieś","ogółem","nowotwór złośliwy tchawicy, oskrzela i płuca",2024,49.63,"-",NA,NA
